date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-09-08,275.0,3487445.15462227,3319,285.092874,294.489,276.3,299.75,12232.66336244
2017-09-09,272.0,860760.01075496,1131,277.21982796,276.3,272.5101,283.98,3104.97274699
2017-09-10,250.0,1415066.76437004,1577,264.25505569,273.69999,269.99,277.0,5354.92787715
2017-09-11,260.01,1011310.05863814,1309,265.48126744,269.99,261.0,271.0,3809.34620513
2017-09-12,215.0,2071114.7984019,2588,244.68415365,261.0,217.01,269.0,8464.44188353
2017-09-13,195.0,2730483.40073394,3580,222.04479868,222.89995,229.19,245.0,12296.99329589
2017-09-14,170.0,4227505.21278351,4656,191.02222898,229.14,188.99995,229.17,22130.95949755
2017-09-15,136.1,4924319.0188356,5086,182.29818888,188.99995,206.4,210.0,27012.44071085
2017-09-16,197.8,913996.71303702,1344,202.17861445,206.0,204.63,209.0,4520.73883051
2017-09-17,192.9,730816.98483236,979,200.67249185,202.8,202.47,204.63,3641.83938763
2017-09-18,202.0,4162523.14949217,3954,218.42044968,203.98999,210.0,238.0,19057.38750932
2017-09-19,188.99,2165522.89086111,2731,201.78624863,209.0,195.07,214.00009,10731.76643896
2017-09-20,175.22,1349958.19547131,2026,190.25568477,195.07,186.9,199.0,7095.49466072
2017-09-21,162.06,1337473.2914431,2342,173.16294643,186.309,173.85,188.0,7723.78455679
2017-09-22,163.51,1071660.25706758,1615,173.49697637,173.88,173.99,188.9999,6176.82382404
2017-09-23,172.5,333290.4893968,776,179.63325423,174.0,179.999,183.49,1855.39415201
2017-09-24,173.1,273879.41975197,617,176.37492951,179.0,176.5,180.0,1552.82511243
2017-09-25,175.0,1290980.86817588,1866,185.00341264,178.29999,184.0,196.0,6978.14623942
2017-09-26,181.02,400947.84401413,1080,184.27805816,183.56,182.74,188.43,2175.77636756
2017-09-27,181.02,634011.75399625,1111,185.5490993,182.74,185.0,187.42,3416.94870188
2017-09-28,181.8,620907.09770147,1190,185.61641847,186.66496,181.8,190.97,3345.10870755
